==================================================================
RAPPORT DES MAIRES SANS CORRESPONDANCE AVEC LES CIRCONSCRIPTIONS
==================================================================

Date: ven. 14 nov. 2025 17:13:07

Nombre total de maires dans le CSV: 29491
Nombre de maires insérés dans la base: 27660
Nombre de maires NON insérés: 1831

==================================================================
ANALYSE PAR RÉGION
==================================================================

Combinaisons Région-Département-Circonscription présentes dans le CSV mais ABSENTES de la table circonscriptions:

- Auvergne-Rhone-Alpes | Dept: 01 (Ain) | Circo:  | Maires concernés: 2
- Auvergne-Rhone-Alpes | Dept: 01 (Ain) | Circo: 1ere circo | Maires concernés: 67
- Auvergne-Rhone-Alpes | Dept: 01 (Ain) | Circo: 2e circo | Maires concernés: 80
- Auvergne-Rhone-Alpes | Dept: 01 (Ain) | Circo: 3e circo | Maires concernés: 62
- Auvergne-Rhone-Alpes | Dept: 01 (Ain) | Circo: 4e circo | Maires concernés: 100
- Auvergne-Rhone-Alpes | Dept: 01 (Ain) | Circo: 5e circo | Maires concernés: 68
- Auvergne-Rhone-Alpes | Dept: 03 (Allier) | Circo:  | Maires concernés: 2
- Auvergne-Rhone-Alpes | Dept: 03 (Allier) | Circo: 1ere circo | Maires concernés: 183
- Auvergne-Rhone-Alpes | Dept: 03 (Allier) | Circo: 2e circo | Maires concernés: 51
- Auvergne-Rhone-Alpes | Dept: 03 (Allier) | Circo: 3e circo | Maires concernés: 61
- Auvergne-Rhone-Alpes | Dept: 07 (Ardeche) | Circo:  | Maires concernés: 2
- Auvergne-Rhone-Alpes | Dept: 07 (Ardeche) | Circo: 1ere circo | Maires concernés: 62
- Auvergne-Rhone-Alpes | Dept: 07 (Ardeche) | Circo: 2e circo | Maires concernés: 162
- Auvergne-Rhone-Alpes | Dept: 07 (Ardeche) | Circo: 3e circo | Maires concernés: 93
- Auvergne-Rhone-Alpes | Dept: 15 (Cantal) | Circo:  | Maires concernés: 1
- Auvergne-Rhone-Alpes | Dept: 15 (Cantal) | Circo: 1ere circo | Maires concernés: 111
- Auvergne-Rhone-Alpes | Dept: 15 (Cantal) | Circo: 2e circo | Maires concernés: 118
- Auvergne-Rhone-Alpes | Dept: 26 (Drome) | Circo:  | Maires concernés: 2
- Auvergne-Rhone-Alpes | Dept: 26 (Drome) | Circo: 1ere circo | Maires concernés: 111
- Auvergne-Rhone-Alpes | Dept: 26 (Drome) | Circo: 2e circo | Maires concernés: 76
- Auvergne-Rhone-Alpes | Dept: 26 (Drome) | Circo: 3e circo | Maires concernés: 103
- Auvergne-Rhone-Alpes | Dept: 26 (Drome) | Circo: 4e circo | Maires concernés: 36
- Auvergne-Rhone-Alpes | Dept: 38 (Isere) | Circo:  | Maires concernés: 2
