Region;NumeroDepartement;NomDepartement;Circonscription;Canton
Auvergne-Rhone-Alpes;01;Ain;1ere circo;Ambérieu-en-Bugey
Auvergne-Rhone-Alpes;01;Ain;1ere circo;Attignat
Auvergne-Rhone-Alpes;01;Ain;1ere circo;Belley
Auvergne-Rhone-Alpes;01;Ain;1ere circo;Bourg-en-Bresse
Auvergne-Rhone-Alpes;01;Ain;1ere circo;Bourg-en-Bresse-1
Auvergne-Rhone-Alpes;01;Ain;2e circo;Bourg-en-Bresse-2
Auvergne-Rhone-Alpes;01;Ain;2e circo;Ceyzériat
Auvergne-Rhone-Alpes;01;Ain;2e circo;Châtillon-sur-Chalaronne
Auvergne-Rhone-Alpes;01;Ain;2e circo;Gex
Auvergne-Rhone-Alpes;01;Ain;2e circo;Lagnieu
Auvergne-Rhone-Alpes;01;Ain;3e circo;Meximieux
Auvergne-Rhone-Alpes;01;Ain;3e circo;Miribel
Auvergne-Rhone-Alpes;01;Ain;3e circo;Nantua
Auvergne-Rhone-Alpes;01;Ain;3e circo;Oyonnax
Auvergne-Rhone-Alpes;01;Ain;3e circo;Plateau d’Hauteville
Auvergne-Rhone-Alpes;01;Ain;4e circo;Pont-d'Ain
Auvergne-Rhone-Alpes;01;Ain;4e circo;Replonges
Auvergne-Rhone-Alpes;01;Ain;4e circo;Saint-Étienne-du-Bois
Auvergne-Rhone-Alpes;01;Ain;4e circo;Saint-Genis-Pouilly
Auvergne-Rhone-Alpes;01;Ain;4e circo;Thoiry
Auvergne-Rhone-Alpes;01;Ain;5e circo;Trévoux
Auvergne-Rhone-Alpes;01;Ain;5e circo;Valserhône
Auvergne-Rhone-Alpes;01;Ain;5e circo;Villars-les-Dombes
Auvergne-Rhone-Alpes;01;Ain;5e circo;Vonnas
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Bellerive-sur-Allier
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Bourbon-l'Archambault
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Commentry
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Cusset
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Dompierre-sur-Besbre
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Gannat
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Huriel
Auvergne-Rhone-Alpes;03;Allier;1ere circo;Lapalisse
Auvergne-Rhone-Alpes;03;Allier;2e circo;Montluçon
Auvergne-Rhone-Alpes;03;Allier;2e circo;Montluçon-1
Auvergne-Rhone-Alpes;03;Allier;2e circo;Montluçon-2
Auvergne-Rhone-Alpes;03;Allier;2e circo;Montluçon-3
Auvergne-Rhone-Alpes;03;Allier;2e circo;Montluçon-4
Auvergne-Rhone-Alpes;03;Allier;2e circo;Moulins
Auvergne-Rhone-Alpes;03;Allier;2e circo;Moulins-1
Auvergne-Rhone-Alpes;03;Allier;2e circo;Moulins-2
Auvergne-Rhone-Alpes;03;Allier;3e circo;Saint-Pourçain-sur-Sioule
Auvergne-Rhone-Alpes;03;Allier;3e circo;Souvigny
Auvergne-Rhone-Alpes;03;Allier;3e circo;Vichy
Auvergne-Rhone-Alpes;03;Allier;3e circo;Vichy-1
Auvergne-Rhone-Alpes;03;Allier;3e circo;Vichy-2
Auvergne-Rhone-Alpes;03;Allier;3e circo;Yzeure
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Annonay
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Annonay-1
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Annonay-2
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Aubenas
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Aubenas-1
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Aubenas-2
Auvergne-Rhone-Alpes;07;Ardeche;1ere circo;Berg-Helvie
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Bourg-Saint-Andéol
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Guilherand-Granges
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Haute-Ardèche
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Haut-Eyrieux
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Haut-Vivarais
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Le Pouzin
Auvergne-Rhone-Alpes;07;Ardeche;2e circo;Les Cévennes Ardéchoises
Auvergne-Rhone-Alpes;07;Ardeche;3e circo;Privas
Auvergne-Rhone-Alpes;07;Ardeche;3e circo;Rhône-Eyrieux
Auvergne-Rhone-Alpes;07;Ardeche;3e circo;Sarras
Auvergne-Rhone-Alpes;07;Ardeche;3e circo;Tournon-sur-Rhône
Auvergne-Rhone-Alpes;07;Ardeche;3e circo;Vallon-Pont-d'Arc
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Arpajon-sur-Cère
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Aurillac
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Aurillac-1
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Mauriac
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Maurs
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Murat
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Naucelles
Auvergne-Rhone-Alpes;15;Cantal;1ere circo;Neuvéglise-sur-Truyère
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Riom-ès-Montagnes
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Saint-Flour
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Saint-Flour-1
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Saint-Flour-2
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Saint-Paul-des-Landes
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Vic-sur-Cère
Auvergne-Rhone-Alpes;15;Cantal;2e circo;Ydes
