codeDepartement;nomDepartement;codeCirconscription;nomCirconscription;codeCommune;nomCommune
1;Ain;101;1ère circonscription;01016;Arbigny
1;Ain;101;1ère circonscription;01024;Attignat
1;Ain;101;1ère circonscription;01029;Beaupont
1;Ain;101;1ère circonscription;01038;Bény
1;Ain;101;1ère circonscription;01040;Béréziat
1;Ain;101;1ère circonscription;01050;Boissey
1;Ain;101;1ère circonscription;01053;Bourg-en-Bresse
1;Ain;101;1ère circonscription;01057;Boz
1;Ain;101;1ère circonscription;01065;Buellas
1;Ain;101;1ère circonscription;01069;Certines
1;Ain;101;1ère circonscription;01072;Ceyzériat
1;Ain;101;1ère circonscription;01094;Chavannes-sur-Reyssouze
1;Ain;101;1ère circonscription;01095;Nivigne et Suran
1;Ain;101;1ère circonscription;01102;Chevroux
1;Ain;101;1ère circonscription;01106;Cize
1;Ain;101;1ère circonscription;01108;Coligny
1;Ain;101;1ère circonscription;01115;Confrançon
1;Ain;101;1ère circonscription;01124;Cormoz
1;Ain;101;1ère circonscription;01125;Corveissiat
1;Ain;101;1ère circonscription;01127;Courmangoux
1;Ain;101;1ère circonscription;01128;Courtes
1;Ain;101;1ère circonscription;01130;Bresse Vallons
1;Ain;101;1ère circonscription;01139;Curciat-Dongalon
1;Ain;101;1ère circonscription;01140;Curtafond
1;Ain;101;1ère circonscription;01145;Dompierre-sur-Veyle
1;Ain;101;1ère circonscription;01147;Domsure
1;Ain;101;1ère circonscription;01150;Drom
1;Ain;101;1ère circonscription;01151;Druillat
1;Ain;101;1ère circonscription;01163;Foissiat
1;Ain;101;1ère circonscription;01175;Gorrevod
1;Ain;101;1ère circonscription;01177;Grand-Corent
1;Ain;101;1ère circonscription;01184;Hautecourt-Romanèche
1;Ain;101;1ère circonscription;01195;Jasseron
1;Ain;101;1ère circonscription;01196;Jayat
1;Ain;101;1ère circonscription;01197;Journans
1;Ain;101;1ère circonscription;01212;Lescheroux
1;Ain;101;1ère circonscription;01229;Malafretaz
1;Ain;101;1ère circonscription;01230;Mantenay-Montlin
1;Ain;101;1ère circonscription;01232;Marboz
1;Ain;101;1ère circonscription;01236;Marsonnas
1;Ain;101;1ère circonscription;01241;Meillonnas
1;Ain;101;1ère circonscription;01245;Bohas-Meyriat-Rignat
1;Ain;101;1ère circonscription;01259;Montcet
1;Ain;101;1ère circonscription;01266;Montrevel-en-Bresse
1;Ain;101;1ère circonscription;01273;Neuville-sur-Ain
1;Ain;101;1ère circonscription;01284;Ozan
1;Ain;101;1ère circonscription;01296;Pirajoux
1;Ain;101;1ère circonscription;01301;Polliat
1;Ain;101;1ère circonscription;01304;Pont-d'Ain
1;Ain;101;1ère circonscription;01305;Pont-de-Vaux
1;Ain;101;1ère circonscription;01309;Pouillat
1;Ain;101;1ère circonscription;01314;Priay
1;Ain;101;1ère circonscription;01317;Ramasse
1;Ain;101;1ère circonscription;01321;Revonnas
1;Ain;101;1ère circonscription;01323;Reyssouze
1;Ain;101;1ère circonscription;01337;Saint-Bénigne
1;Ain;101;1ère circonscription;01344;Saint-Denis-lès-Bourg
1;Ain;101;1ère circonscription;01346;Saint-Didier-d'Aussiat
1;Ain;101;1ère circonscription;01350;Saint-Etienne-du-Bois
1;Ain;101;1ère circonscription;01352;Saint-Etienne-sur-Reyssouze
1;Ain;101;1ère circonscription;01364;Saint-Jean-sur-Reyssouze
1;Ain;101;1ère circonscription;01367;Saint-Julien-sur-Reyssouze
1;Ain;101;1ère circonscription;01374;Saint-Martin-du-Mont
1;Ain;101;1ère circonscription;01375;Saint-Martin-le-Châtel
1;Ain;101;1ère circonscription;01380;Saint-Nizier-le-Bouchoux
1;Ain;101;1ère circonscription;01387;Saint-Sulpice
1;Ain;101;1ère circonscription;01388;Saint-Trivier-de-Courtes
1;Ain;101;1ère circonscription;01391;Salavre
1;Ain;101;1ère circonscription;01402;Sermoyer
1;Ain;101;1ère circonscription;01406;Servignat
1;Ain;101;1ère circonscription;01408;Simandre-sur-Suran
1;Ain;101;1ère circonscription;01422;Tossiat
1;Ain;101;1ère circonscription;01425;La Tranclière
1;Ain;101;1ère circonscription;01426;Val-Revermont
1;Ain;101;1ère circonscription;01429;Vandeins
1;Ain;101;1ère circonscription;01430;Varambon
1;Ain;101;1ère circonscription;01432;Verjon
1;Ain;101;1ère circonscription;01433;Vernoux
1;Ain;101;1ère circonscription;01437;Vescours
1;Ain;101;1ère circonscription;01445;Villemotier
1;Ain;101;1ère circonscription;01447;Villereversure
1;Ain;101;1ère circonscription;01451;Viriat
1;Ain;102;2ème circonscription;01008;Ambutrix
1;Ain;102;2ème circonscription;01021;Ars-sur-Formans
1;Ain;102;2ème circonscription;01027;Balan
1;Ain;102;2ème circonscription;01030;Beauregard
1;Ain;102;2ème circonscription;01032;Béligneux
1;Ain;102;2ème circonscription;01043;Beynost
1;Ain;102;2ème circonscription;01047;Blyes
1;Ain;102;2ème circonscription;01049;La Boisse
1;Ain;102;2ème circonscription;01054;Bourg-Saint-Christophe
1;Ain;102;2ème circonscription;01062;Bressolles
1;Ain;102;2ème circonscription;01088;Charnoz-sur-Ain
1;Ain;102;2ème circonscription;01099;Chazey-sur-Ain
1;Ain;102;2ème circonscription;01105;Civrieux
1;Ain;102;2ème circonscription;01142;Dagneux
1;Ain;102;2ème circonscription;01156;Faramans
1;Ain;102;2ème circonscription;01166;Frans
1;Ain;102;2ème circonscription;01194;Jassans-Riottier
1;Ain;102;2ème circonscription;01198;Joyeux
1;Ain;102;2ème circonscription;01202;Lagnieu
1;Ain;102;2ème circonscription;01213;Leyment
1;Ain;102;2ème circonscription;01224;Loyettes
1;Ain;102;2ème circonscription;01238;Massieux
1;Ain;102;2ème circonscription;01244;Meximieux
1;Ain;102;2ème circonscription;01248;Mionnay
1;Ain;102;2ème circonscription;01249;Miribel
1;Ain;102;2ème circonscription;01250;Misérieux
1;Ain;102;2ème circonscription;01260;Le Montellier
1;Ain;102;2ème circonscription;01262;Montluel
1;Ain;102;2ème circonscription;01275;Neyron
1;Ain;102;2ème circonscription;01276;Niévroz
1;Ain;102;2ème circonscription;01285;Parcieux
1;Ain;102;2ème circonscription;01290;Pérouges
1;Ain;102;2ème circonscription;01297;Pizay
1;Ain;102;2ème circonscription;01318;Rancé
1;Ain;102;2ème circonscription;01322;Reyrieux
1;Ain;102;2ème circonscription;01325;Rignieux-le-Franc
1;Ain;102;2ème circonscription;01333;Saint-André-de-Corcy
1;Ain;102;2ème circonscription;01339;Saint-Bernard
1;Ain;102;2ème circonscription;01342;Sainte-Croix
1;Ain;102;2ème circonscription;01347;Saint-Didier-de-Formans
1;Ain;102;2ème circonscription;01349;Saint-Eloi
1;Ain;102;2ème circonscription;01353;Sainte-Euphémie
1;Ain;102;2ème circonscription;01361;Saint-Jean-de-Niost
1;Ain;102;2ème circonscription;01362;Saint-Jean-de-Thurigneux
1;Ain;102;2ème circonscription;01366;Sainte-Julie
1;Ain;102;2ème circonscription;01376;Saint-Maurice-de-Beynost
1;Ain;102;2ème circonscription;01378;Saint-Maurice-de-Gourdans
1;Ain;102;2ème circonscription;01386;Saint-Sorlin-en-Bugey
1;Ain;102;2ème circonscription;01390;Saint-Vulbas
1;Ain;102;2ème circonscription;01396;Sault-Brénaz
1;Ain;102;2ème circonscription;01411;Souclin
1;Ain;102;2ème circonscription;01418;Thil
1;Ain;102;2ème circonscription;01423;Toussieux
1;Ain;102;2ème circonscription;01424;Tramoyes
1;Ain;102;2ème circonscription;01427;Trévoux
1;Ain;102;2ème circonscription;01431;Vaux-en-Bugey
1;Ain;102;2ème circonscription;01444;Villebois
1;Ain;102;2ème circonscription;01450;Villieu-Loyes-Mollon
1;Ain;103;3ème circonscription;01006;Ambléon
1;Ain;103;3ème circonscription;01009;Andert-et-Condon
1;Ain;103;3ème circonscription;01010;Anglefort
1;Ain;103;3ème circonscription;01015;Arboys en Bugey
1;Ain;103;3ème circonscription;01033;Valserhône
1;Ain;103;3ème circonscription;01034;Belley
1;Ain;103;3ème circonscription;01044;Billiat
1;Ain;103;3ème circonscription;01058;Brégnier-Cordon
1;Ain;103;3ème circonscription;01061;Brens
1;Ain;103;3ème circonscription;01071;Cessy
1;Ain;103;3ème circonscription;01078;Challex
1;Ain;103;3ème circonscription;01081;Champfromier
1;Ain;103;3ème circonscription;01082;Chanay
1;Ain;103;3ème circonscription;01098;Chazey-Bons
1;Ain;103;3ème circonscription;01103;Chevry
1;Ain;103;3ème circonscription;01104;Chézery-Forens
1;Ain;103;3ème circonscription;01109;Collonges
1;Ain;103;3ème circonscription;01110;Colomieu
1;Ain;103;3ème circonscription;01114;Confort
1;Ain;103;3ème circonscription;01117;Conzieu
1;Ain;103;3ème circonscription;01118;Corbonod
1;Ain;103;3ème circonscription;01133;Cressin-Rochefort
1;Ain;103;3ème circonscription;01135;Crozet
1;Ain;103;3ème circonscription;01138;Culoz
1;Ain;103;3ème circonscription;01143;Divonne-les-Bains
1;Ain;103;3ème circonscription;01153;Echenevex
1;Ain;103;3ème circonscription;01158;Farges
1;Ain;103;3ème circonscription;01160;Ferney-Voltaire
1;Ain;103;3ème circonscription;01173;Gex
1;Ain;103;3ème circonscription;01174;Giron
1;Ain;103;3ème circonscription;01180;Grilly
1;Ain;103;3ème circonscription;01189;Injoux-Génissiat
1;Ain;103;3ème circonscription;01193;Izieu
