Civilite;Nom;Prenom;Mandat;Circonscription;Departement;Candidat_parrainage;Date
M;BARIOD;Maurice;Maire;Saint-Maurice-Crillat;Jura;ALLIOT-MARIE Michèle;2017
Mme;LARSONNEUR-MOREL;Dominique;Conseiller/ère départemental-e;;Manche;ALLIOT-MARIE Michèle;2017
M;MEIRE;Étienne;Maire;Raon-lès-Leau;Meurthe-et-Moselle;ALLIOT-MARIE Michèle;2017
M;PELON;David;Maire;Trignac;Loire-Atlantique;ALLIOT-MARIE Michèle;2017
M;AGNUS;Joël;Maire délégué-e;Chatonrupt-Sommermont;Haute-Marne;ARTHAUD Nathalie;2017
Mme;ALBERT;Catherine;Maire;Cahus;Lot;ARTHAUD Nathalie;2017
M;ANDRE;Yves;Maire;Bannalec;Finistère;ARTHAUD Nathalie;2017
M;AUBERT;Alain;Maire;Vix;Côte-d'Or;ARTHAUD Nathalie;2017
M;AVOUAC;Thierry;Maire;Charmes-sur-Rhône;Ardèche;ARTHAUD Nathalie;2017
M;AVY;Christian;Maire;Hombleux;Somme;ARTHAUD Nathalie;2017
M;BAILLEUL;Guy;Maire;Crouay;Calvados;ARTHAUD Nathalie;2017
M;BAILLEUL;Guy;Maire;Oussoy-en-Gâtinais;Loiret;ARTHAUD Nathalie;2017
M;BARDOT;Georges;Maire;Corbenay;Haute-Saône;ARTHAUD Nathalie;2017
M;BAUVY;Claude;Maire;Bellechassagne;Corrèze;ARTHAUD Nathalie;2017
M;BAYLAC;Michel;Maire;Hémilly;Moselle;ARTHAUD Nathalie;2017
M;BAZIN;Gérard;Maire;Bionville-sur-Nied;Moselle;ARTHAUD Nathalie;2017
Mme;BECHARD;Isabelle;Maire;Germont;Ardennes;ARTHAUD Nathalie;2017
M;BENOIST;Jean-Louis;Maire;Barbonne-Fayel;Marne;ARTHAUD Nathalie;2017
M;BESSAC;Alain;Maire;La Capelle-Bleys;Aveyron;ARTHAUD Nathalie;2017
Mme;BESSONNEAU;Françoise;Maire;Moumour;Pyrénées-Atlantiques;ARTHAUD Nathalie;2017
M;BIANCHIN;René;Maire;Pagny-sur-Moselle;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;BIC;Jean-Jacques;Maire;Autreville-sur-Moselle;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;BIGEL;Jean-Pierre;Maire;Villers-sous-Prény;Meurthe-et-Moselle;ARTHAUD Nathalie;2017
M;BISSINGER;Michel;Maire;Goussaincourt;Meuse;ARTHAUD Nathalie;2017
M;BLAISE;Gabriel;Maire;Chanceaux;Côte-d'Or;ARTHAUD Nathalie;2017
M;BLANC;Daniel;Maire;Entrevennes;Alpes-de-Haute-Provence;ARTHAUD Nathalie;2017
Mme;BON;Linda;Maire;Camps-en-Amiénois;Somme;ARTHAUD Nathalie;2017
M;BONTE;Alain;Maire;Evricourt;Oise;ARTHAUD Nathalie;2017
M;BORNIER;Bernard;Maire;Dercy;Aisne;ARTHAUD Nathalie;2017
M;BOTELLA;Bruno;Maire;Heiltz-le-Hutier;Marne;ARTHAUD Nathalie;2017
M;BOULENGER;Raynald;Maire;Saint-Quentin-la-Motte-Croix-au-Bailly;Somme;ARTHAUD Nathalie;2017
M;BOURCHOT;Alain;Maire;Maisoncelles-en-Brie;Seine-et-Marne;ARTHAUD Nathalie;2017
M;BOUTELEUX;Pascal;Maire;Monceaux-l'Abbaye;Oise;ARTHAUD Nathalie;2017
M;BOUTET;Jean;Maire;Chalais;Indre;ARTHAUD Nathalie;2017
M;BOUZIN;Fabien;Maire délégué-e;Le Teilleul;Manche;ARTHAUD Nathalie;2017
M;BROUTE;Alain;Maire;Ranville-Breuillaud;Charente;ARTHAUD Nathalie;2017
