"CodeDepartement";"NomDepartement";"NbCirconscriptions";"Circonscriptions";"RelationsOSM";"UrlOverpassTurbo"
"001";"Ain";"5";"001-01;001-02;001-03;001-04;001-05";"2187468;2186337;2186338;2187249;2186340";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187468);relation(2186337);relation(2186338);relation(2187249);relation(2186340));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"002";"Aisne";"5";"002-01;002-02;002-03;002-04;002-05";"3108388;3108389;2187264;3108390;3108391";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108388);relation(3108389);relation(2187264);relation(3108390);relation(3108391));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"003";"Allier";"3";"003-01;003-02;003-03";"3108680;2215234;2914694";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108680);relation(2215234);relation(2914694));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"004";"Alpes-de-Haute-Provence";"2";"004-01;004-02";"2186343;2186345";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186343);relation(2186345));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"005";"Hautes-Alpes";"2";"005-01;005-02";"2186436;2186437";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186436);relation(2186437));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"006";"Alpes-Maritimes";"9";"006-01;006-02;006-03;006-04;006-05;006-06;006-07;006-08;006-09";"2191568;2186982;2186983;2186984;2186985;2186986;2186987;2186988;2186989";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"007";"Ardeche";"3";"007-01;007-02;007-03";"2681102;2186822;2681156";"https://overpass-turbo.eu/?Q=[out:json];(relation(2681102);relation(2186822);relation(2681156));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"008";"Ardennes";"3";"008-01;008-02;008-03";"7152599;7152598;7152597";"https://overpass-turbo.eu/?Q=[out:json];(relation(7152599);relation(7152598);relation(7152597));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"009";"Ariege";"2";"009-01;009-02";"2186284;2186285";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186284);relation(2186285));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"010";"Aube";"3";"010-01;010-02;010-03";"2202845;2202846;3107639";"https://overpass-turbo.eu/?Q=[out:json];(relation(2202845);relation(2202846);relation(3107639));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"011";"Aude";"3";"011-01;011-02;011-03";"7171994;2799091;7171993";"https://overpass-turbo.eu/?Q=[out:json];(relation(7171994);relation(2799091);relation(7171993));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"012";"Aveyron";"3";"012-01;012-02;012-03";"2187018;2187019;2187020";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187018);relation(2187019);relation(2187020));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
"013";"Bouches-du-Rhone";"16";"013-01;013-02;013-03;013-04;013-05;013-06;013-07;013-08;013-09;013-10;013-11;013-12;013-13;013-14;013-15;013-16";"7177612;3108692;7177611;7177615;7177616;7177613;7177614;2186835;2186836;2186837;7206979;2186839;2186840;2186841;2186842;2186843";"https://overpass-turbo.eu/?Q=[out:json];(relation(7177612);relation(3108692);relation(7177611);relation(7177615);relation(7177616);relation(7177613);relation(7177614);relation(2186835);relation(2186836);relation(2186837);relation(7206979);relation(2186839);relation(2186840);relation(2186841);relation(2186842);relation(2186843));out body geom;&R&S=relation{fill-color:%2317a2b8;fill-opacity:0.3;text:name;font-size:14;}"
