"CodeDepartement";"NomDepartement";"NbCirconscriptions";"Circonscription";"RelationOSM";"UrlOpenStreetMap";"UrlOverpassTurbo"
"001";"Ain";"5";"001-01";"2187468";"https://www.openstreetmap.org/relation/2187468";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187468);relation(2186337);relation(2186338);relation(2187249);relation(2186340););out body geom;&R"
"001";"Ain";"5";"001-02";"2186337";"https://www.openstreetmap.org/relation/2186337";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187468);relation(2186337);relation(2186338);relation(2187249);relation(2186340););out body geom;&R"
"001";"Ain";"5";"001-03";"2186338";"https://www.openstreetmap.org/relation/2186338";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187468);relation(2186337);relation(2186338);relation(2187249);relation(2186340););out body geom;&R"
"001";"Ain";"5";"001-04";"2187249";"https://www.openstreetmap.org/relation/2187249";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187468);relation(2186337);relation(2186338);relation(2187249);relation(2186340););out body geom;&R"
"001";"Ain";"5";"001-05";"2186340";"https://www.openstreetmap.org/relation/2186340";"https://overpass-turbo.eu/?Q=[out:json];(relation(2187468);relation(2186337);relation(2186338);relation(2187249);relation(2186340););out body geom;&R"
"002";"Aisne";"5";"002-01";"3108388";"https://www.openstreetmap.org/relation/3108388";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108388);relation(3108389);relation(2187264);relation(3108390);relation(3108391););out body geom;&R"
"002";"Aisne";"5";"002-02";"3108389";"https://www.openstreetmap.org/relation/3108389";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108388);relation(3108389);relation(2187264);relation(3108390);relation(3108391););out body geom;&R"
"002";"Aisne";"5";"002-03";"2187264";"https://www.openstreetmap.org/relation/2187264";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108388);relation(3108389);relation(2187264);relation(3108390);relation(3108391););out body geom;&R"
"002";"Aisne";"5";"002-04";"3108390";"https://www.openstreetmap.org/relation/3108390";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108388);relation(3108389);relation(2187264);relation(3108390);relation(3108391););out body geom;&R"
"002";"Aisne";"5";"002-05";"3108391";"https://www.openstreetmap.org/relation/3108391";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108388);relation(3108389);relation(2187264);relation(3108390);relation(3108391););out body geom;&R"
"003";"Allier";"3";"003-01";"3108680";"https://www.openstreetmap.org/relation/3108680";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108680);relation(2215234);relation(2914694););out body geom;&R"
"003";"Allier";"3";"003-02";"2215234";"https://www.openstreetmap.org/relation/2215234";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108680);relation(2215234);relation(2914694););out body geom;&R"
"003";"Allier";"3";"003-03";"2914694";"https://www.openstreetmap.org/relation/2914694";"https://overpass-turbo.eu/?Q=[out:json];(relation(3108680);relation(2215234);relation(2914694););out body geom;&R"
"004";"Alpes-de-Haute-Provence";"2";"004-01";"2186343";"https://www.openstreetmap.org/relation/2186343";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186343);relation(2186345););out body geom;&R"
"004";"Alpes-de-Haute-Provence";"2";"004-02";"2186345";"https://www.openstreetmap.org/relation/2186345";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186343);relation(2186345););out body geom;&R"
"005";"Hautes-Alpes";"2";"005-01";"2186436";"https://www.openstreetmap.org/relation/2186436";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186436);relation(2186437););out body geom;&R"
"005";"Hautes-Alpes";"2";"005-02";"2186437";"https://www.openstreetmap.org/relation/2186437";"https://overpass-turbo.eu/?Q=[out:json];(relation(2186436);relation(2186437););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-01";"2191568";"https://www.openstreetmap.org/relation/2191568";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-02";"2186982";"https://www.openstreetmap.org/relation/2186982";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-03";"2186983";"https://www.openstreetmap.org/relation/2186983";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-04";"2186984";"https://www.openstreetmap.org/relation/2186984";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-05";"2186985";"https://www.openstreetmap.org/relation/2186985";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-06";"2186986";"https://www.openstreetmap.org/relation/2186986";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-07";"2186987";"https://www.openstreetmap.org/relation/2186987";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-08";"2186988";"https://www.openstreetmap.org/relation/2186988";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"006";"Alpes-Maritimes";"9";"006-09";"2186989";"https://www.openstreetmap.org/relation/2186989";"https://overpass-turbo.eu/?Q=[out:json];(relation(2191568);relation(2186982);relation(2186983);relation(2186984);relation(2186985);relation(2186986);relation(2186987);relation(2186988);relation(2186989););out body geom;&R"
"007";"Ardeche";"3";"007-01";"2681102";"https://www.openstreetmap.org/relation/2681102";"https://overpass-turbo.eu/?Q=[out:json];(relation(2681102);relation(2186822);relation(2681156););out body geom;&R"
"007";"Ardeche";"3";"007-02";"2186822";"https://www.openstreetmap.org/relation/2186822";"https://overpass-turbo.eu/?Q=[out:json];(relation(2681102);relation(2186822);relation(2681156););out body geom;&R"
"007";"Ardeche";"3";"007-03";"2681156";"https://www.openstreetmap.org/relation/2681156";"https://overpass-turbo.eu/?Q=[out:json];(relation(2681102);relation(2186822);relation(2681156););out body geom;&R"
"008";"Ardennes";"3";"008-01";"7152599";"https://www.openstreetmap.org/relation/7152599";"https://overpass-turbo.eu/?Q=[out:json];(relation(7152599);relation(7152598);relation(7152597););out body geom;&R"
"008";"Ardennes";"3";"008-02";"7152598";"https://www.openstreetmap.org/relation/7152598";"https://overpass-turbo.eu/?Q=[out:json];(relation(7152599);relation(7152598);relation(7152597););out body geom;&R"
